log,scen,cell,var,run,worst35,lift_s,az_liftoff,status,P15_before,P15_after,mean0_10,mean10_35,az_at_rel,az_peak,az_final,t80,err_at_rel,overshoot,alt_drop20,alt_exc35
s1_platd5_1.00_v4_r2,S1,platd5 1.00,4,2,0.5924667792671272,6.6023580000000095,0.0,ok,5.000000058430487e-08,3.8898187426639197e-07,0.4117788364701683,0.5279906449126742,0.0,0.0,-0.01,nan,,,,
s1_pre_0.05_v1_r0,S1,pre 0.05,1,0,0.16438379611354303,4.302445000000006,-0.06,ok,5.000000058430487e-08,6.198727533046622e-06,0.06299890347562123,0.1553849706428092,0.0,0.0,-0.01,nan,,,,
s1_pre_0.05_v1_r1,S1,pre 0.05,1,1,0.16016467475921026,4.312440999999993,-0.06,ok,5.000000058430487e-08,6.205977570061805e-06,0.05726723297785312,0.15158673200597406,0.0,0.0,-0.01,nan,,,,
s1_pre_0.05_v1_r2,S1,pre 0.05,1,2,0.16372004910372162,4.352424999999997,-0.06,ok,5.000000058430487e-08,6.220703653525561e-06,0.05909373141753666,0.1539358674516991,0.0,0.0,-0.01,nan,,,,
s1_pre_0.05_v2_r0,S1,pre 0.05,2,0,0.2702697799541056,4.4523849999999925,0.0,ok,5.000000058430487e-08,5.000000058430487e-08,0.09837692195436261,0.11007969800317056,0.0,0.0,-0.01,nan,,,,
s1_pre_0.05_v2_r1,S1,pre 0.05,2,1,0.28341777185561695,4.402405000000002,0.0,ok,5.000000058430487e-08,5.000000058430487e-08,0.09626148534081842,0.109878985832668,0.0,0.0,-0.01,nan,,,,
s1_pre_0.05_v2_r2,S1,pre 0.05,2,2,0.28346714079380037,4.4007390000000015,0.0,ok,5.000000058430487e-08,5.000000058430487e-08,0.09665071405897524,0.10877679243125264,0.0,0.0,-0.01,nan,,,,
s1_pre_0.05_v3_r0,S1,pre 0.05,3,0,0.16432021121727303,4.402405000000002,0.0,ok,,,0.049987423797667324,0.017830128519154546,0.0,0.0,0.0,nan,,,,
s1_pre_0.05_v3_r1,S1,pre 0.05,3,1,0.16581689781428188,4.383246,0.0,ok,,,0.04536073522416356,0.016643926514280177,0.0,0.0,0.0,nan,,,,
s1_pre_0.05_v3_r2,S1,pre 0.05,3,2,0.18496279612882063,4.402405000000002,0.0,ok,,,0.04436596571524077,0.01774578975204335,0.0,0.0,0.0,nan,,,,
s1_pre_0.15_v1_r0,S1,pre 0.15,1,0,0.2765443190757626,4.289950000000005,-0.1264999999999995,ok,5.000000058430487e-08,6.18486046732869e-06,0.08864684210630105,0.2367049533514993,0.0,0.0,-0.01,nan,,,,
s1_pre_0.15_v1_r1,S1,pre 0.15,1,1,0.27443918839853687,4.299946000000006,-0.13,ok,5.000000058430487e-08,6.242494237085339e-06,0.08364234722482333,0.2355865305293661,0.0,0.0,-0.01,nan,,,,
s1_pre_0.15_v1_r2,S1,pre 0.15,1,2,0.27589713173220165,4.303278000000006,-0.12,ok,5.000000058430487e-08,6.239602498681052e-06,0.08011184021827644,0.2359730557956721,0.0,0.0,-0.01,nan,,,,
s1_pre_0.15_v2_r0,S1,pre 0.15,2,0,0.534100665024016,4.402405000000002,-0.01,ok,5.000000058430487e-08,5.000000058430487e-08,0.2528533532461654,0.15801439727366648,0.0,0.0,-0.01,nan,,,,
s1_pre_0.15_v2_r1,S1,pre 0.15,2,1,0.5302457191515715,4.402405000000002,-0.01,ok,5.000000058430487e-08,5.000000058430487e-08,0.25156925225050886,0.15738279663992533,0.0,0.0,-0.01,nan,,,,
s1_pre_0.15_v2_r2,S1,pre 0.15,2,2,0.5327870785025841,4.4024049999999875,-0.01,ok,5.000000058430487e-08,5.000000058430487e-08,0.25061985059340125,0.15933871711414552,0.0,0.0,-0.01,nan,,,,
s1_pre_0.15_v3_r0,S1,pre 0.15,3,0,0.3012095842044801,4.402405000000002,-0.019999999999999997,ok,,,0.12587206364874393,0.07978391639978112,0.0,0.0,0.0,nan,,,,
s1_pre_0.15_v3_r1,S1,pre 0.15,3,1,0.2985798349895049,4.402405000000002,-0.019999999999999997,ok,,,0.12510794312231927,0.0799379756763893,0.0,0.0,0.0,nan,,,,
s1_pre_0.15_v3_r2,S1,pre 0.15,3,2,0.29857406528026376,4.402405000000002,-0.019999999999999997,ok,,,0.11921360641539301,0.08173590526732732,0.0,0.0,0.0,nan,,,,
s1_pre_0.15_v4_r0,S1,pre 0.15,4,0,0.3714006543159485,4.324935999999994,-0.06,ok,5.000000058430487e-08,3.88793807815091e-07,0.15171665955951372,0.22363512099231092,0.0,0.0,-0.01,nan,,,,
s1_pre_0.15_v4_r1,S1,pre 0.15,4,1,0.38289751280099155,4.34492800000001,-0.06,ok,5.000000058430487e-08,3.8758554410378565e-07,0.14910895444053995,0.22424525594190117,0.0,0.0,-0.01,nan,,,,
s1_pre_0.15_v4_r2,S1,pre 0.15,4,2,0.3702503302134573,4.302444999999992,-0.06,ok,5.000000058430487e-08,3.893813413924363e-07,0.15148765292668506,0.22558293747377303,0.0,0.0,-0.01,nan,,,,
s1_pre_0.30_v1_r0,S1,pre 0.30,1,0,0.44803227639640575,4.100026,-0.23,ok,5.000000058430487e-08,6.217012014531065e-06,0.12610625164183076,0.35958139848048426,0.0,0.0,-0.02,nan,,,,
s1_pre_0.30_v1_r1,S1,pre 0.30,1,1,0.44152731894854913,4.177494999999993,-0.23,ok,5.000000058430487e-08,6.203627890499774e-06,0.1227532819308994,0.35783517171397694,0.0,0.0,-0.02,nan,,,,
s1_pre_0.30_v1_r2,S1,pre 0.30,1,2,0.4492059907934163,4.100026,-0.24,ok,5.000000058430487e-08,6.240578841243405e-06,0.12531848809113097,0.36149630582212294,0.0,0.0,-0.02,nan,,,,
s1_pre_0.30_v2_r0,S1,pre 0.30,2,0,1.0051453737542033,4.758095999999995,-0.0245,ok,5.000000058430487e-08,5.000000058430487e-08,0.47093606272203103,0.23892678268992798,0.0,0.0,-0.011600000000000001,nan,,,,
s1_pre_0.30_v2_r1,S1,pre 0.30,2,1,1.0097402330846874,4.77225700000001,-0.02,ok,5.000000058430487e-08,5.000000058430487e-08,0.4757972983806841,0.23778362284187005,0.0,0.0,-0.0114,nan,,,,
s1_pre_0.30_v2_r2,S1,pre 0.30,2,2,1.001110243378207,4.8030780000000135,-0.028000000000001135,ok,5.000000058430487e-08,5.000000058430487e-08,0.4713403412572213,0.23980747069281,0.0,0.0,-0.011600000000000001,nan,,,,
